DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
21-Aug-25,EQ,"1,997.50","1,997.50","1,983.20","1,988.20","1,990.50","1,991.20","1,991.62","2,037.70","1,613.00",6219925,"12,38,77,22,464.00",160599
20-Aug-25,EQ,"1,987.00","1,992.00","1,979.00","1,991.10","1,988.30","1,988.20","1,985.13","2,037.70","1,613.00",4975114,"9,87,62,63,155.30",173424
19-Aug-25,EQ,"1,998.30","2,006.10","1,986.70","2,003.60","1,990.00","1,991.10","1,995.49","2,037.70","1,613.00",6176219,"12,32,45,74,114.90",170899
18-Aug-25,EQ,"2,010.00","2,026.60","1,995.60","1,991.10","2,005.00","2,003.60","2,008.73","2,037.70","1,613.00",9642398,"19,36,89,89,917.90",220027
14-Aug-25,EQ,"1,978.00","1,996.00","1,971.20","1,980.30","1,989.50","1,991.10","1,990.18","2,037.70","1,601.15",8755858,"17,42,57,42,818.70",174342
13-Aug-25,EQ,"1,994.00","1,994.00","1,969.10","1,969.90","1,979.90","1,980.30","1,977.14","2,037.70","1,601.15",6788698,"13,42,21,76,534.10",177703
12-Aug-25,EQ,"1,991.90","1,996.00","1,967.50","1,995.60","1,969.70","1,969.90","1,978.54","2,037.70","1,601.15",6468901,"12,79,89,99,218.20",237925
11-Aug-25,EQ,"1,975.90","1,997.60","1,973.10","1,973.90","1,992.00","1,995.60","1,986.89","2,037.70","1,601.15",4552927,"9,04,61,55,578.70",165998
08-Aug-25,EQ,"1,987.10","1,992.80","1,970.00","1,995.40","1,972.00","1,973.90","1,978.99","2,037.70","1,593.30",6947632,"13,74,92,88,126.40",178320
07-Aug-25,EQ,"1,980.10","2,001.60","1,976.80","1,985.30","1,998.00","1,995.40","1,986.09","2,037.70","1,593.30",6540593,"12,99,02,37,207.70",223527
06-Aug-25,EQ,"1,971.10","1,988.00","1,970.00","1,977.60","1,987.00","1,985.30","1,978.39","2,037.70","1,593.30",7040102,"13,92,80,74,705.90",211058
05-Aug-25,EQ,"1,986.50","1,994.40","1,965.50","1,992.00","1,981.00","1,977.60","1,975.61","2,037.70","1,593.30",11989029,"23,68,56,33,703.60",194332
