DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF TRADES
23-Feb-26,EQ,"1,511.00","1,564.50","1,510.80","1,511.50","1,554.00","1,555.80","1,550.49","1,583.90","1,036.50",3113728,"4,82,78,05,577.30",98084
20-Feb-26,EQ,"1,513.30","1,529.20","1,505.20","1,513.30","1,515.30","1,511.50","1,515.25","1,583.90","1,036.50",1126987,"1,70,76,71,457.20",32537
19-Feb-26,EQ,"1,550.00","1,550.80","1,506.70","1,550.80","1,511.70","1,513.30","1,529.51","1,583.90","1,036.50",984392,"1,50,56,40,782.20",44344
18-Feb-26,EQ,"1,565.00","1,565.00","1,540.00","1,566.30","1,550.00","1,550.80","1,549.12","1,583.90","1,036.50",1326139,"2,05,43,49,550.50",47674
17-Feb-26,EQ,"1,545.00","1,576.50","1,535.70","1,540.10","1,562.60","1,566.30","1,563.33","1,583.90","1,036.50",3168457,"4,95,33,33,820.30",68993
16-Feb-26,EQ,"1,517.50","1,545.50","1,495.30","1,519.00","1,538.00","1,540.10","1,524.37","1,583.90","1,036.50",1644108,"2,50,62,22,426.90",64622
13-Feb-26,EQ,"1,543.00","1,543.00","1,507.00","1,543.70","1,508.00","1,519.00","1,519.98","1,583.90","1,036.50",1838361,"2,79,42,69,577.90",67996
12-Feb-26,EQ,"1,542.10","1,551.00","1,532.50","1,553.40","1,543.40","1,543.70","1,540.72","1,583.90","1,036.50",1107584,"1,70,64,75,035.40",50330
11-Feb-26,EQ,"1,554.70","1,559.40","1,539.20","1,554.70","1,548.20","1,553.40","1,548.61","1,583.90","1,036.50",1359416,"2,10,52,11,900.40",44332
10-Feb-26,EQ,"1,565.00","1,568.00","1,525.00","1,561.70","1,550.00","1,554.70","1,551.93","1,583.90","1,036.50",1643366,"2,55,03,88,390.10",56747
09-Feb-26,EQ,"1,575.90","1,583.90","1,554.50","1,550.70","1,557.00","1,561.70","1,564.02","1,583.90","1,036.50",1761025,"2,75,42,77,729.20",54926
06-Feb-26,EQ,"1,563.00","1,575.50","1,527.00","1,570.20","1,549.50","1,550.70","1,559.05","1,577.70","1,036.50",4429173,"6,90,53,14,954.60",69792
05-Feb-26,EQ,"1,568.00","1,577.70","1,548.60","1,567.90","1,566.50","1,570.20","1,564.43","1,577.70","1,036.50",3285127,"5,13,93,49,516.50",87496
04-Feb-26,EQ,"1,529.90","1,572.30","1,508.50","1,530.80","1,565.20","1,567.90","1,547.39","1,572.30","1,036.50",6632728,"10,26,33,89,033.60",137551
03-Feb-26,EQ,"1,477.20","1,537.00","1,477.20","1,403.10","1,532.00","1,530.80","1,513.68","1,549.00","1,036.50",11977119,"18,12,95,43,447.50",230582
02-Feb-26,EQ,"1,348.00","1,406.00","1,348.00","1,344.90","1,402.50","1,403.10","1,379.41","1,549.00","1,036.50",2796673,"3,85,77,55,829.10",91119
01-Feb-26,EQ,"1,419.80","1,453.90","1,325.00","1,419.80","1,347.90","1,344.90","1,390.21","1,549.00","1,010.75",1975061,"2,74,57,45,349.50",68751
30-Jan-26,EQ,"1,417.80","1,428.50","1,407.00","1,417.80","1,417.00","1,419.80","1,419.29","1,549.00","1,010.75",2227414,"3,16,13,56,856.40",48408
29-Jan-26,EQ,"1,384.90","1,429.00","1,371.60","1,381.90","1,417.10","1,417.80","1,407.41","1,549.00","1,010.75",3918681,"5,51,51,93,750.80",64249
28-Jan-26,EQ,"1,373.90","1,384.30","1,363.70","1,363.90","1,379.60","1,381.90","1,377.14","1,549.00","1,010.75",2938285,"4,04,64,19,846.80",60309
27-Jan-26,EQ,"1,334.30","1,368.30","1,322.00","1,308.40","1,365.00","1,363.90","1,352.72","1,549.00","1,010.75",3838632,"5,19,25,96,487.20",111797
23-Jan-26,EQ,"1,417.00","1,417.00","1,292.00","1,414.20","1,314.90","1,308.40","1,332.03","1,549.00","1,010.75",6380222,"8,49,86,26,270.00",156201
22-Jan-26,EQ,"1,400.00","1,421.70","1,388.50","1,378.60","1,416.10","1,414.20","1,410.22","1,549.00","1,010.75",1689638,"2,38,27,64,840.00",70921
21-Jan-26,EQ,"1,371.70","1,390.40","1,345.00","1,367.60","1,379.00","1,378.60","1,373.00","1,549.00","1,010.75",2141532,"2,94,03,23,174.80",91155
20-Jan-26,EQ,"1,409.00","1,412.90","1,359.60","1,403.00","1,375.60","1,367.60","1,382.62","1,549.00","1,010.75",1799611,"2,48,81,73,753.30",57324
19-Jan-26,EQ,"1,421.00","1,421.00","1,395.60","1,421.90","1,403.30","1,403.00","1,405.55","1,549.00","1,010.75",1130162,"1,58,84,93,677.50",47724
16-Jan-26,EQ,"1,430.00","1,448.00","1,416.10","1,430.00","1,424.30","1,421.90","1,432.93","1,549.00","1,010.75",1556318,"2,23,00,99,990.70",48618
14-Jan-26,EQ,"1,429.00","1,438.90","1,423.00","1,428.60","1,429.00","1,430.00","1,431.10","1,549.00","1,010.75",1278819,"1,83,01,21,846.00",43686
13-Jan-26,EQ,"1,443.50","1,449.00","1,420.00","1,443.50","1,429.90","1,428.60","1,432.94","1,549.00","1,010.75",919873,"1,31,81,21,600.50",35182
12-Jan-26,EQ,"1,435.90","1,447.10","1,403.90","1,435.90","1,445.60","1,443.50","1,425.22","1,549.00","1,010.75",1539180,"2,19,36,73,061.30",64681
09-Jan-26,EQ,"1,463.00","1,463.00","1,431.00","1,465.20","1,434.40","1,435.90","1,443.48","1,549.00","1,010.75",2280396,"3,29,17,09,131.50",70295
